arm,games,wins,losses,draws,decided,win_rate,win_rate_ci_low,win_rate_ci_high,deckout_rate,deckout_win_rate,deckout_loss_rate,prize_rate,attack_rate,attack_legal_decisions,attack_chosen_decisions,turns_to_win_mean,turns_to_win_median,turns_to_loss_mean,turns_to_loss_median,turns_mean,win_by_cause,games_with_cause,games_with_turn
baseline,8,0,8,0,8,0.0,0.0,0.32440756488388023,0.25,0.0,0.25,0.75,0.0,24,0,,,22.375,21.5,22.375,"deckout:W=0,L=2,D=0|prize:W=0,L=6,D=0",8,8
deckout_penalty,8,2,6,0,8,0.25,0.071479212752109,0.5907245696898311,0.25,0.25,0.0,0.0,,0,0,55.5,55.5,11.0,7.0,22.125,"deckout:W=2,L=0,D=0|other:W=0,L=6,D=0",8,8
