idx,phase,games,prize_decided,deckout_share,true_result,attach_zero_visit,attack_zero_visit,attack_avail,attack_chosen,game_length_hist
36,Main 2/25,25,3/25,72.0%,"P0_WINS=14,P1_WINS=11,DRAWS=0",21.04%(230/1093),29.14%(81/278),278,120,1-15:1|16-25:4|26-40:9|41-60:9|61+:2
37,Main 3/25,25,5/25,72.0%,"P0_WINS=12,P1_WINS=13,DRAWS=0",21.67%(229/1057),35.65%(77/216),216,53,1-15:1|16-25:4|26-40:13|41-60:6|61+:1
38,Main 3/25,25,1/25,92.0%,"P0_WINS=12,P1_WINS=13,DRAWS=0",14.83%(179/1207),46.53%(67/144),144,36,1-15:2|16-25:1|26-40:10|41-60:9|61+:3
39,Main 3/25,25,14/24,33.3%,"P0_WINS=11,P1_WINS=13,DRAWS=1",30.09%(207/688),21.98%(71/323),323,110,1-15:2|16-25:11|26-40:8|41-60:3|61+:1
40,Main 3/25,25,4/25,52.0%,"P0_WINS=13,P1_WINS=12,DRAWS=0",31.33%(637/2033),17.36%(159/916),916,398,1-15:3|16-25:1|26-40:3|41-60:2|61+:16
41,Main 3/25,25,4/25,60.0%,"P0_WINS=17,P1_WINS=8,DRAWS=0",29.80%(484/1624),32.37%(145/448),448,81,1-15:5|16-25:2|26-40:4|41-60:4|61+:10
42,Main 3/25,25,6/25,56.0%,"P0_WINS=13,P1_WINS=12,DRAWS=0",20.93%(224/1070),24.76%(52/210),210,75,1-15:3|16-25:4|26-40:10|41-60:6|61+:2
43,Main 3/25,25,1/25,76.0%,"P0_WINS=12,P1_WINS=13,DRAWS=0",25.12%(368/1465),42.60%(144/338),338,96,1-15:1|16-25:2|26-40:9|41-60:5|61+:8
44,Main 4/25,25,4/25,76.0%,"P0_WINS=9,P1_WINS=16,DRAWS=0",16.58%(221/1333),27.27%(36/132),132,31,1-15:2|16-25:3|26-40:8|41-60:10|61+:2
45,Main 4/25,25,7/25,64.0%,"P0_WINS=13,P1_WINS=12,DRAWS=0",29.38%(310/1055),36.48%(197/540),540,169,1-15:2|16-25:4|26-40:9|41-60:8|61+:2
46,Main 4/25,25,10/25,24.0%,"P0_WINS=19,P1_WINS=6,DRAWS=0",35.02%(560/1599),12.24%(89/727),727,369,1-15:0|16-25:5|26-40:5|41-60:5|61+:10
47,Main 4/25,25,4/25,60.0%,"P0_WINS=5,P1_WINS=20,DRAWS=0",36.99%(702/1898),9.55%(38/398),398,173,1-15:1|16-25:1|26-40:4|41-60:8|61+:11
48,Main 4/25,25,4/25,60.0%,"P0_WINS=13,P1_WINS=12,DRAWS=0",27.91%(314/1125),40.41%(137/339),339,117,1-15:3|16-25:4|26-40:4|41-60:9|61+:5
49,Main 4/25,25,3/25,68.0%,"P0_WINS=16,P1_WINS=9,DRAWS=0",27.94%(452/1618),17.96%(44/245),245,123,1-15:2|16-25:2|26-40:9|41-60:1|61+:11
50,Main 5/25,25,3/25,76.0%,"P0_WINS=15,P1_WINS=10,DRAWS=0",20.97%(281/1340),39.07%(84/215),215,47,1-15:2|16-25:4|26-40:9|41-60:6|61+:4
51,Main 5/25,25,9/25,60.0%,"P0_WINS=9,P1_WINS=16,DRAWS=0",23.83%(276/1158),36.05%(124/344),344,99,1-15:0|16-25:7|26-40:8|41-60:8|61+:2
52,Main 5/25,25,12/25,40.0%,"P0_WINS=10,P1_WINS=15,DRAWS=0",32.30%(427/1322),18.17%(115/633),633,291,1-15:4|16-25:3|26-40:7|41-60:5|61+:6
